"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",6,"3.4","7.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",1,"3.1","8.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",1,"3.1","8.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",1,"3.1","8.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",1,"3.1","8.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",1,"3.1","8.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",1,"3.1","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",1,"3.1","8.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",2,"3.3","7.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",2,"3.3","7.0","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",2,"3.3","8.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",2,"3.3","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",2,"3.3","7.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",2,"3.3","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",2,"3.3","7.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",3,"3.0","7.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",3,"3.0","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",3,"3.0","7.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",3,"3.0","7.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",3,"3.0","7.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",3,"3.0","7.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",3,"3.0","7.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",4,"3.5","7.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",4,"3.5","6.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",4,"3.5","7.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",4,"3.5","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",4,"3.5","7.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",4,"3.5","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",4,"3.5","7.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",5,"3.4","4.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",5,"3.4","5.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",5,"3.4","4.5","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",5,"3.4","5.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","KLEIN Sascha","GER","17",5,"3.4","4.5","LATIMER Simon James","NZL"
